Latitude,Longitude,Description,Description_encoded,Weapon,Weapon_encoded,HourBin,HourBin_encoded,Inside/Outside,Inside/Outside_encoded
39.28347,-76.64206,COMMON ASSAULT,1,HANDS,1,Night,3,Inside,0
39.32345,-76.57122,ROBBERY - STREET,6,FIREARM,0,Night,3,Outside,1
39.31694,-76.60274,AGG. ASSAULT,0,OTHER,3,Night,3,Inside,0
39.3163,-76.60646,ROBBERY - STREET,6,FIREARM,0,Night,3,Outside,1
39.30677,-76.63307,COMMON ASSAULT,1,HANDS,1,Night,3,Outside,1
39.28984,-76.61023,COMMON ASSAULT,1,HANDS,1,Night,3,Outside,1
39.31483,-76.62826,AGG. ASSAULT,0,HANDS,1,Night,3,Inside,0
39.2985,-76.57736,COMMON ASSAULT,1,HANDS,1,Night,3,Inside,0
39.34098,-76.66948,COMMON ASSAULT,1,HANDS,1,Night,3,Inside,0
39.29721,-76.5801,AGG. ASSAULT,0,OTHER,3,Night,3,Outside,1
39.31631,-76.59583,COMMON ASSAULT,1,HANDS,1,Night,3,Outside,1
39.31524,-76.59558,AGG. ASSAULT,0,FIREARM,0,Night,3,Outside,1
39.36967,-76.56365,AGG. ASSAULT,0,HANDS,1,Night,3,Inside,0
39.32164,-76.68406,COMMON ASSAULT,1,HANDS,1,Morning,2,Outside,1
39.30727,-76.64256,COMMON ASSAULT,1,HANDS,1,Morning,2,Inside,0
39.26266,-76.63747,COMMON ASSAULT,1,HANDS,1,Morning,2,Outside,1
39.29536,-76.64012,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Inside,0
39.2545,-76.65591,AGG. ASSAULT,0,FIREARM,0,Afternoon,0,Inside,0
39.36431,-76.60169,AGG. ASSAULT,0,OTHER,3,Afternoon,0,Inside,0
39.29255,-76.63127,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Inside,0
39.34454,-76.68017,ROBBERY - CARJACKING,3,FIREARM,0,Evening,1,Outside,1
39.29298,-76.61823,COMMON ASSAULT,1,HANDS,1,Evening,1,Outside,1
39.31641,-76.6478,AGG. ASSAULT,0,KNIFE,2,Evening,1,Inside,0
39.30156,-76.57755,COMMON ASSAULT,1,HANDS,1,Evening,1,Inside,0
39.29918,-76.58307,COMMON ASSAULT,1,HANDS,1,Evening,1,Outside,1
39.30201,-76.67047,AGG. ASSAULT,0,KNIFE,2,Evening,1,Outside,1
39.27686,-76.61429,AGG. ASSAULT,0,HANDS,1,Evening,1,Outside,1
39.28315,-76.64545,AGG. ASSAULT,0,OTHER,3,Evening,1,Outside,1
39.28038,-76.57483,COMMON ASSAULT,1,HANDS,1,Evening,1,Inside,0
39.28128,-76.63047,AGG. ASSAULT,0,KNIFE,2,Evening,1,Outside,1
39.34246,-76.67815,COMMON ASSAULT,1,HANDS,1,Evening,1,Inside,0
39.24411,-76.6219,AGG. ASSAULT,0,KNIFE,2,Afternoon,0,Outside,1
39.24411,-76.6219,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Outside,1
39.28218,-76.70562,COMMON ASSAULT,1,HANDS,1,Night,3,Inside,0
39.27666,-76.61333,COMMON ASSAULT,1,HANDS,1,Night,3,Outside,1
39.35202,-76.68385,AGG. ASSAULT,0,FIREARM,0,Night,3,Outside,1
39.27666,-76.61333,COMMON ASSAULT,1,HANDS,1,Night,3,Outside,1
39.27666,-76.61333,COMMON ASSAULT,1,HANDS,1,Night,3,Outside,1
39.29453,-76.66489,ROBBERY - COMMERCIAL,4,FIREARM,0,Night,3,Inside,0
39.33097,-76.60891,ROBBERY - STREET,6,FIREARM,0,Night,3,Outside,1
39.25298,-76.62677,COMMON ASSAULT,1,HANDS,1,Morning,2,Inside,0
39.3249,-76.55063,AGG. ASSAULT,0,OTHER,3,Morning,2,Inside,0
39.34884,-76.56946,AGG. ASSAULT,0,HANDS,1,Afternoon,0,Inside,0
39.35207,-76.60973,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Inside,0
39.22789,-76.5938,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Inside,0
39.33327,-76.65591,AGG. ASSAULT,0,HANDS,1,Afternoon,0,Inside,0
39.33327,-76.65591,AGG. ASSAULT,0,HANDS,1,Afternoon,0,Inside,0
39.36674,-76.56224,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Inside,0
39.33902,-76.54004,AGG. ASSAULT,0,KNIFE,2,Afternoon,0,Inside,0
39.30141,-76.58108,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Outside,1
39.33255,-76.58896,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Inside,0
39.28771,-76.63534,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Outside,1
39.30662,-76.5981,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Inside,0
39.31013,-76.64152,AGG. ASSAULT,0,OTHER,3,Afternoon,0,Outside,1
39.32268,-76.68318,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Inside,0
39.3283,-76.56532,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Inside,0
39.37149,-76.54756,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Inside,0
39.31332,-76.61386,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Inside,0
39.27828,-76.6582,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Inside,0
39.28645,-76.57151,COMMON ASSAULT,1,HANDS,1,Evening,1,Outside,1
39.33076,-76.5432,ROBBERY - COMMERCIAL,4,FIREARM,0,Evening,1,Inside,0
39.29286,-76.61975,ROBBERY - STREET,6,OTHER,3,Evening,1,Outside,1
39.36011,-76.55468,ROBBERY - STREET,6,FIREARM,0,Evening,1,Outside,1
39.28576,-76.67906,COMMON ASSAULT,1,HANDS,1,Evening,1,Inside,0
39.32113,-76.6144,ROBBERY - CARJACKING,3,FIREARM,0,Evening,1,Outside,1
39.28342,-76.63936,ROBBERY - STREET,6,OTHER,3,Evening,1,Inside,0
39.36389,-76.60682,COMMON ASSAULT,1,HANDS,1,Evening,1,Inside,0
39.28992,-76.63418,ROBBERY - STREET,6,FIREARM,0,Night,3,Outside,1
39.22746,-76.5887,COMMON ASSAULT,1,HANDS,1,Night,3,Outside,1
39.3094,-76.65631,AGG. ASSAULT,0,HANDS,1,Night,3,Inside,0
39.2993,-76.62075,COMMON ASSAULT,1,HANDS,1,Night,3,Inside,0
39.2993,-76.62075,COMMON ASSAULT,1,HANDS,1,Night,3,Inside,0
39.29684,-76.58031,AGG. ASSAULT,0,KNIFE,2,Morning,2,Inside,0
39.36141,-76.64631,AGG. ASSAULT,0,OTHER,3,Morning,2,Outside,1
39.36141,-76.64631,AGG. ASSAULT,0,OTHER,3,Morning,2,Outside,1
39.36141,-76.64631,AGG. ASSAULT,0,OTHER,3,Morning,2,Outside,1
39.36141,-76.64631,AGG. ASSAULT,0,OTHER,3,Morning,2,Outside,1
39.29069,-76.63392,COMMON ASSAULT,1,HANDS,1,Morning,2,Inside,0
39.28972,-76.6502,COMMON ASSAULT,1,HANDS,1,Morning,2,Outside,1
39.28972,-76.6502,ROBBERY - STREET,6,OTHER,3,Morning,2,Outside,1
39.29301,-76.61735,AGG. ASSAULT,0,HANDS,1,Morning,2,Inside,0
39.29513,-76.59861,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Inside,0
39.34563,-76.53917,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Outside,1
39.30739,-76.59769,ROBBERY - COMMERCIAL,4,OTHER,3,Afternoon,0,Inside,0
39.32479,-76.60029,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Inside,0
39.28188,-76.67956,AGG. ASSAULT,0,OTHER,3,Afternoon,0,Inside,0
39.31947,-76.6559,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Outside,1
39.31947,-76.6559,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Outside,1
39.2901,-76.57087,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Inside,0
39.36309,-76.70501,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Inside,0
39.2771,-76.60701,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Outside,1
39.31242,-76.70131,AGG. ASSAULT,0,HANDS,1,Afternoon,0,Inside,0
39.28117,-76.58116,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Inside,0
39.30343,-76.62265,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Inside,0
39.30343,-76.62265,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Inside,0
39.28517,-76.64357,ROBBERY - STREET,6,FIREARM,0,Afternoon,0,Outside,1
39.33036,-76.5428,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Inside,0
39.33324,-76.65993,COMMON ASSAULT,1,HANDS,1,Evening,1,Inside,0
39.28011,-76.69638,COMMON ASSAULT,1,HANDS,1,Evening,1,Outside,1
39.28276,-76.65114,AGG. ASSAULT,0,OTHER,3,Evening,1,Outside,1
39.35093,-76.59882,COMMON ASSAULT,1,HANDS,1,Evening,1,Outside,1
39.36992,-76.58779,AGG. ASSAULT,0,HANDS,1,Evening,1,Inside,0
39.36992,-76.58779,AGG. ASSAULT,0,OTHER,3,Evening,1,Inside,0
39.3019,-76.66443,ROBBERY - RESIDENCE,5,FIREARM,0,Evening,1,Inside,0
39.28901,-76.59365,AGG. ASSAULT,0,OTHER,3,Evening,1,Outside,1
39.31111,-76.5949,COMMON ASSAULT,1,HANDS,1,Evening,1,Inside,0
39.28661,-76.69199,COMMON ASSAULT,1,HANDS,1,Evening,1,Inside,0
39.29612,-76.57641,COMMON ASSAULT,1,HANDS,1,Night,3,Inside,0
39.29699,-76.65384,COMMON ASSAULT,1,HANDS,1,Night,3,Inside,0
39.36812,-76.55624,ROBBERY - STREET,6,OTHER,3,Night,3,Outside,1
39.30732,-76.66201,AGG. ASSAULT,0,OTHER,3,Night,3,Inside,0
39.34732,-76.66831,AGG. ASSAULT,0,HANDS,1,Night,3,Inside,0
39.28099,-76.5547,ROBBERY - COMMERCIAL,4,FIREARM,0,Night,3,Inside,0
39.2954,-76.57566,AGG. ASSAULT,0,OTHER,3,Morning,2,Inside,0
39.33255,-76.58896,COMMON ASSAULT,1,HANDS,1,Morning,2,Inside,0
39.3671,-76.60101,AGG. ASSAULT,0,OTHER,3,Morning,2,Inside,0
39.31003,-76.67597,COMMON ASSAULT,1,HANDS,1,Morning,2,Inside,0
39.33902,-76.54004,COMMON ASSAULT,1,HANDS,1,Morning,2,Inside,0
39.3034,-76.58405,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Inside,0
39.24694,-76.63636,ROBBERY - COMMERCIAL,4,FIREARM,0,Afternoon,0,Inside,0
39.29444,-76.58186,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Outside,1
39.28634,-76.67118,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Inside,0
39.3034,-76.58405,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Inside,0
39.26917,-76.59434,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Inside,0
39.2771,-76.60701,AGG. ASSAULT,0,OTHER,3,Afternoon,0,Inside,0
39.30271,-76.62792,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Inside,0
39.29529,-76.59114,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Outside,1
39.34408,-76.60961,AGG. ASSAULT,0,OTHER,3,Afternoon,0,Inside,0
39.31148,-76.55963,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Inside,0
39.30943,-76.59966,COMMON ASSAULT,1,HANDS,1,Evening,1,Inside,0
39.25298,-76.62677,COMMON ASSAULT,1,HANDS,1,Evening,1,Inside,0
39.28645,-76.6698,COMMON ASSAULT,1,HANDS,1,Evening,1,Inside,0
39.28645,-76.6698,COMMON ASSAULT,1,HANDS,1,Evening,1,Inside,0
39.28727,-76.59587,AGG. ASSAULT,0,KNIFE,2,Evening,1,Inside,0
39.32931,-76.56395,COMMON ASSAULT,1,HANDS,1,Evening,1,Inside,0
39.29655,-76.58721,ROBBERY - STREET,6,FIREARM,0,Evening,1,Outside,1
39.30316,-76.63423,COMMON ASSAULT,1,HANDS,1,Evening,1,Outside,1
39.29157,-76.6211,ROBBERY - STREET,6,FIREARM,0,Evening,1,Outside,1
39.32024,-76.65828,ROBBERY - STREET,6,KNIFE,2,Evening,1,Outside,1
39.29931,-76.60334,AGG. ASSAULT,0,KNIFE,2,Night,3,Inside,0
39.31597,-76.63532,COMMON ASSAULT,1,HANDS,1,Night,3,Inside,0
39.2994,-76.57946,COMMON ASSAULT,1,HANDS,1,Night,3,Inside,0
39.33869,-76.60957,COMMON ASSAULT,1,HANDS,1,Night,3,Outside,1
39.31508,-76.64046,COMMON ASSAULT,1,HANDS,1,Morning,2,Outside,1
39.31508,-76.64046,COMMON ASSAULT,1,HANDS,1,Morning,2,Outside,1
39.31508,-76.64046,COMMON ASSAULT,1,HANDS,1,Morning,2,Outside,1
39.31508,-76.64046,COMMON ASSAULT,1,HANDS,1,Morning,2,Outside,1
39.31508,-76.64046,AGG. ASSAULT,0,OTHER,3,Morning,2,Outside,1
39.31999,-76.65644,AGG. ASSAULT,0,HANDS,1,Morning,2,Inside,0
39.31999,-76.65644,COMMON ASSAULT,1,HANDS,1,Morning,2,Inside,0
39.36747,-76.70612,COMMON ASSAULT,1,HANDS,1,Morning,2,Inside,0
39.30343,-76.62265,AGG. ASSAULT,0,HANDS,1,Morning,2,Inside,0
39.3244,-76.68401,COMMON ASSAULT,1,HANDS,1,Morning,2,Outside,1
39.35664,-76.67088,AGG. ASSAULT,0,FIREARM,0,Morning,2,Outside,1
39.34075,-76.67046,COMMON ASSAULT,1,HANDS,1,Morning,2,Inside,0
39.31859,-76.54609,AGG. ASSAULT,0,KNIFE,2,Morning,2,Inside,0
39.29936,-76.58372,COMMON ASSAULT,1,HANDS,1,Morning,2,Inside,0
39.29131,-76.6101,COMMON ASSAULT,1,HANDS,1,Morning,2,Inside,0
39.31253,-76.64548,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Outside,1
39.28221,-76.64267,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Inside,0
39.31464,-76.56082,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Inside,0
39.31294,-76.59513,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Inside,0
39.31113,-76.59236,AGG. ASSAULT,0,HANDS,1,Afternoon,0,Outside,1
39.31113,-76.59236,AGG. ASSAULT,0,HANDS,1,Afternoon,0,Outside,1
39.28908,-76.64239,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Inside,0
39.28908,-76.64239,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Inside,0
39.29875,-76.58507,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Outside,1
39.28422,-76.645,AGG. ASSAULT,0,OTHER,3,Afternoon,0,Outside,1
39.29851,-76.61857,AGG. ASSAULT,0,OTHER,3,Afternoon,0,Outside,1
39.31204,-76.63001,AGG. ASSAULT,0,HANDS,1,Afternoon,0,Outside,1
39.31246,-76.64267,ROBBERY - STREET,6,FIREARM,0,Evening,1,Outside,1
39.31949,-76.59464,AGG. ASSAULT,0,OTHER,3,Evening,1,Inside,0
39.33404,-76.55743,COMMON ASSAULT,1,HANDS,1,Evening,1,Outside,1
39.30019,-76.6069,COMMON ASSAULT,1,HANDS,1,Evening,1,Outside,1
39.28469,-76.64921,AGG. ASSAULT,0,KNIFE,2,Evening,1,Outside,1
39.28469,-76.64921,COMMON ASSAULT,1,HANDS,1,Evening,1,Outside,1
39.29447,-76.63206,AGG. ASSAULT,0,OTHER,3,Evening,1,Outside,1
39.31771,-76.64899,AGG. ASSAULT,0,KNIFE,2,Evening,1,Inside,0
39.31989,-76.62303,COMMON ASSAULT,1,HANDS,1,Evening,1,Inside,0
39.28088,-76.63182,AGG. ASSAULT,0,HANDS,1,Evening,1,Inside,0
39.29138,-76.64154,COMMON ASSAULT,1,HANDS,1,Evening,1,Inside,0
39.34359,-76.65225,AGG. ASSAULT,0,OTHER,3,Evening,1,Inside,0
39.28559,-76.56807,AGG. ASSAULT,0,OTHER,3,Night,3,Inside,0
39.31403,-76.60355,COMMON ASSAULT,1,HANDS,1,Morning,2,Inside,0
39.30239,-76.68475,COMMON ASSAULT,1,HANDS,1,Morning,2,Inside,0
39.30754,-76.63954,COMMON ASSAULT,1,HANDS,1,Morning,2,Inside,0
39.28107,-76.65608,COMMON ASSAULT,1,HANDS,1,Morning,2,Inside,0
39.29502,-76.63303,COMMON ASSAULT,1,HANDS,1,Morning,2,Inside,0
39.33169,-76.69651,COMMON ASSAULT,1,HANDS,1,Morning,2,Inside,0
39.25199,-76.64183,AGG. ASSAULT,0,OTHER,3,Morning,2,Inside,0
39.30888,-76.6551,AGG. ASSAULT,0,HANDS,1,Morning,2,Inside,0
39.30095,-76.62629,AGG. ASSAULT,0,KNIFE,2,Morning,2,Inside,0
39.28399,-76.65505,AGG. ASSAULT,0,OTHER,3,Afternoon,0,Inside,0
39.31578,-76.65245,AGG. ASSAULT,0,OTHER,3,Afternoon,0,Inside,0
39.28075,-76.64654,AGG. ASSAULT,0,FIREARM,0,Afternoon,0,Inside,0
39.31246,-76.64267,ROBBERY - STREET,6,FIREARM,0,Evening,1,Outside,1
39.36587,-76.60557,COMMON ASSAULT,1,HANDS,1,Evening,1,Inside,0
39.36587,-76.60557,COMMON ASSAULT,1,HANDS,1,Evening,1,Inside,0
39.36573,-76.60231,COMMON ASSAULT,1,HANDS,1,Evening,1,Inside,0
39.34419,-76.67867,AGG. ASSAULT,0,OTHER,3,Night,3,Inside,0
39.32284,-76.56577,AGG. ASSAULT,0,FIREARM,0,Night,3,Outside,1
39.34586,-76.6638,COMMON ASSAULT,1,HANDS,1,Night,3,Inside,0
39.29701,-76.64429,COMMON ASSAULT,1,HANDS,1,Night,3,Inside,0
39.2894,-76.60669,COMMON ASSAULT,1,HANDS,1,Night,3,Outside,1
39.2894,-76.60669,COMMON ASSAULT,1,HANDS,1,Night,3,Inside,0
39.27556,-76.61548,COMMON ASSAULT,1,HANDS,1,Night,3,Outside,1
39.29634,-76.57297,COMMON ASSAULT,1,HANDS,1,Night,3,Outside,1
39.2941,-76.65501,COMMON ASSAULT,1,HANDS,1,Night,3,Inside,0
39.28976,-76.61015,AGG. ASSAULT,0,OTHER,3,Night,3,Outside,1
39.29481,-76.57081,AGG. ASSAULT,0,OTHER,3,Night,3,Outside,1
39.29274,-76.66237,COMMON ASSAULT,1,HANDS,1,Night,3,Inside,0
39.28624,-76.59763,COMMON ASSAULT,1,HANDS,1,Night,3,Inside,0
39.30176,-76.65371,AGG. ASSAULT,0,KNIFE,2,Night,3,Outside,1
39.30077,-76.65361,AGG. ASSAULT,0,OTHER,3,Night,3,Outside,1
39.31506,-76.59941,AGG. ASSAULT,0,KNIFE,2,Morning,2,Outside,1
39.29818,-76.59991,COMMON ASSAULT,1,HANDS,1,Morning,2,Inside,0
39.31203,-76.67682,AGG. ASSAULT,0,OTHER,3,Morning,2,Inside,0
39.2587,-76.64758,COMMON ASSAULT,1,HANDS,1,Morning,2,Inside,0
39.35023,-76.60974,COMMON ASSAULT,1,HANDS,1,Morning,2,Outside,1
39.35023,-76.60974,COMMON ASSAULT,1,HANDS,1,Morning,2,Outside,1
39.31706,-76.57784,COMMON ASSAULT,1,HANDS,1,Morning,2,Inside,0
39.28761,-76.53982,ROBBERY - COMMERCIAL,4,OTHER,3,Morning,2,Inside,0
39.27871,-76.66349,COMMON ASSAULT,1,HANDS,1,Morning,2,Inside,0
39.30118,-76.67041,COMMON ASSAULT,1,HANDS,1,Morning,2,Inside,0
39.3014,-76.6197,ROBBERY - COMMERCIAL,4,KNIFE,2,Morning,2,Outside,1
39.29933,-76.68221,COMMON ASSAULT,1,HANDS,1,Morning,2,Inside,0
39.31556,-76.62222,AGG. ASSAULT,0,OTHER,3,Afternoon,0,Outside,1
39.31392,-76.63569,AGG. ASSAULT,0,FIREARM,0,Afternoon,0,Inside,0
39.33881,-76.68286,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Outside,1
39.29184,-76.56876,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Outside,1
39.32643,-76.68264,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Outside,1
39.31418,-76.59798,AGG. ASSAULT,0,KNIFE,2,Afternoon,0,Outside,1
39.3098,-76.60253,COMMON ASSAULT,1,HANDS,1,Evening,1,Inside,0
39.27665,-76.61226,COMMON ASSAULT,1,HANDS,1,Evening,1,Inside,0
39.31708,-76.60065,COMMON ASSAULT,1,HANDS,1,Evening,1,Outside,1
39.35337,-76.60985,COMMON ASSAULT,1,HANDS,1,Evening,1,Inside,0
39.29887,-76.58224,COMMON ASSAULT,1,HANDS,1,Evening,1,Outside,1
39.29568,-76.61824,COMMON ASSAULT,1,HANDS,1,Evening,1,Inside,0
39.22991,-76.60087,ROBBERY - COMMERCIAL,4,FIREARM,0,Evening,1,Outside,1
39.3697,-76.56348,AGG. ASSAULT,0,OTHER,3,Evening,1,Outside,1
39.32662,-76.57218,COMMON ASSAULT,1,HANDS,1,Evening,1,Outside,1
39.36028,-76.70789,COMMON ASSAULT,1,HANDS,1,Evening,1,Outside,1
39.28001,-76.57531,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Inside,0
39.31237,-76.59029,ROBBERY - CARJACKING,3,FIREARM,0,Afternoon,0,Outside,1
39.28381,-76.63995,AGG. ASSAULT,0,KNIFE,2,Afternoon,0,Outside,1
